ITEM_MV,ITEM NUMBER_MV,MV,ITEM_NMV,ITEM NUMBER_NMV,NMV
MV01,1,The tennis pro that the retired country club member with a bad knee dislikes always reserves the best court.,NMV01,1,The retired country club member with a bad knee dislikes that the tennis pro always reserves the best court.
MV02,2,The speaker that the web developer on the Facebook design team heard yesterday is presenting in LA next.,NMV02,2,The web developer on the Facebook design team heard yesterday that the speaker is presenting in LA next.
MV03,3,The cultured man that the single mom from the Peruvian mountain village likes jogs with his dogs every morning.,NMV03,3,The single mom from the Peruvian mountain village likes that the cultured man jogs with his dogs every morning.
MV04,4,The TV host that the logical ambassador to Egypt criticized supports a lot of conspiracy theories.,NMV04,4,The logical ambassador to Egypt criticized that the TV host supports a lot of conspiracy theories.
MV05,5,The sidewalk entertainer that the tourist with the full beard criticized was actually a talentless con artist.,NMV05,5,The tourist with the full beard criticized that the sidewalk entertainer was actually a talentless con artist.
MV06,6,The ranch hand that the veterinarian for pets and farm animals knows enjoys taking walks through the countryside.,NMV06,6,The veterinarian for pets and farm animals knows that the ranch hand enjoys taking walks through the countryside.
MV07,7,The bartender that the clever hostess on the late night staff suspected had been stealing kegs from the cellar.,NMV07,7,The clever hostess on the late night staff suspected that the bartender had been stealing kegs from the cellar.
MV08,8,The truck mechanic that the bus driver for the Kentucky bus company doubted finished the twenty egg omelet.,NMV08,8,The bus driver for the Kentucky bus company doubted that the truck mechanic finished the twenty egg omelet.
MV09,9,The receptionist that the insurance broker on the third floor complains about picks out the skittles from the candy jar.,NMV09,9,The insurance broker on the third floor complains that the receptionist picks out the skittles from the candy jar.
MV10,10,The park ranger that the camera-man from the nature channel was motioning at had stumbled into a bear's den.,NMV10,10,The camera-man from the nature channel was motioning that the park ranger had stumbled into a bear's den.
MV11,11,The bold astronaut that the captain of the orbiting space ship believed in had returned from the alien planet.,NMV11,11,The captain of the orbiting space ship believed that the bold astronaut had returned from the alien planet.
MV12,12,The visitor that the chairman of the dominant television network expected wanted to negotiate a merger.,NMV12,12,The chairman of the dominant television network expected that the visitor wanted to negotiate a merger.
MV13,13,The children that the careless chaperone for the field trip forgot about went to see the museum's mummy exhibit.,NMV13,13,The careless chaperone for the field trip forgot that the children went to see the museum's mummy exhibit.
MV14,14,The activist that the Ohio congressman on the education committee knows is getting the award.,NMV14,14,The Ohio congressman on the education committee knows that the activist is getting the award.
MV15,15,The grandfather that the children in the waiting area prayed for did not face any complications during the procedure.,NMV15,15,The children in the waiting area prayed that their grandfather did not face any complications during the procedure.
